platform	tool	version	source	sha256	path	notes
linux-x86_64	minimap2	2.31-r1302	conda minimap2=2.31 (bioconda h118bc1c_0; CONDA_SUBDIR=linux-64)	b6c81294dc0b68b2f54f8e2f6f3ad6be71a40bccc47a6e244ecebc73bae9501d	03_dependence/linux-x86_64/bin/minimap2	Needs glibc >= 2.14 and the system zlib; verified via file + ELF DT_NEEDED
linux-arm64	minimap2	2.31-r1302	conda-forge minimap2 (CONDA_SUBDIR=linux-aarch64)	03f361d0b8dba343adb6067fbdc109719196ef0e2619ba02c5295826dcec56dc	03_dependence/linux-arm64/bin/minimap2	Needs glibc >= 2.17 and the system zlib; verified via file + ELF DT_NEEDED
macos-x86_64	minimap2	2.31-r1302	conda-forge minimap2 (CONDA_SUBDIR=osx-64)	a051598fff1cea18ce305570dea63e0dd26df6428af2f355e261c90904c1cddc	03_dependence/macos-x86_64/bin/minimap2	Links only /usr/lib/libSystem.B.dylib plus the system zlib; runs on Intel Macs and on Apple Silicon under Rosetta 2
macos-arm64	minimap2	2.31-r1302	conda-forge minimap2 (CONDA_SUBDIR=osx-arm64)	007777300e7f1dc464300135d1b16e5c47bef40ae19a1017c1504d33b2509142	03_dependence/macos-arm64/bin/minimap2	Links only /usr/lib/libSystem.B.dylib plus the system zlib; verified by running the file in isolation with an empty environment
